@relation testeZeroA

@attribute hu0 numeric
@attribute hu1 numeric
@attribute hu2 numeric
@attribute hu3 numeric
@attribute hu4 numeric
@attribute hu5 numeric
@attribute hu6 numeric
@attribute shp0 numeric
@attribute shp1 numeric
@attribute groups {ZERO,SETE,TRES,QUATRO,NOVE,SEIS,OITO,DEZ,UM,CINCO,DOIS,ONZE}
@attribute label {I,Aviao,Adulto,O,Casa,P,Pedra,E,DOIS,Verbo,Identidade,L,W,QUATRO,Junto,Y,U,UM,C,T,N,V,Lei,S,D,A,B,Gasolina,Palavra,Pequeno,G,SETE,F,X,CINCO,America,NOVE,Q,M,R}


@data
0.249401,0.0222678,0.000577282,9.99194e-05,-2.32326e-08,-1.35808e-05,6.01112e-09,2,6,?,?
0.249494,0.0224277,0.000559594,9.66553e-05,-2.14801e-08,-1.33683e-05,6.62629e-09,2,6,?,?
0.250477,0.0229069,0.000594683,9.97567e-05,-2.39047e-08,-1.35228e-05,4.34952e-09,2,6,?,?
0.259817,0.0366065,0.000772146,0.000150634,1.94253e-08,2.95511e-06,-4.7559e-08,4,5,?,?
0.279903,0.0420171,0.000639777,9.58015e-05,5.28261e-09,1.55506e-05,-2.31219e-08,1,3,?,?
0.317273,0.0456673,0.00373992,4.78311e-05,-1.97165e-08,3.05489e-06,-4.52916e-09,2,3,?,?
0.341618,0.0529545,0.00616607,0.000341138,-8.47017e-08,6.76951e-05,-4.87461e-07,3,3,?,?
0.357604,0.0626204,0.00798286,0.000775426,1.34465e-06,0.000193686,-1.38345e-06,3,4,?,?
0.358889,0.0723552,0.00662591,0.000972372,2.44232e-06,0.000213605,3.56143e-07,1,4,?,?
0.360544,0.0727376,0.00694739,0.000985776,2.53243e-06,0.000210079,4.91875e-07,1,4,?,?
0.358257,0.0705115,0.00726606,0.000987554,2.59595e-06,0.000207704,5.09095e-07,1,4,?,?
0.357238,0.0704413,0.00681723,0.000947362,2.37858e-06,0.000205457,3.72415e-07,1,4,?,?
0.358486,0.0722569,0.00634694,0.000973642,2.40664e-06,0.000221554,2.57441e-07,1,4,?,?
0.361135,0.0742219,0.00639152,0.00108522,2.84491e-06,0.000252638,2.74448e-07,1,4,?,?
0.358313,0.0730943,0.00584368,0.000986039,2.36507e-06,0.000234649,9.35572e-08,1,4,?,?
0.358677,0.0735156,0.00559639,0.000963007,2.23556e-06,0.000233379,1.5778e-08,1,4,?,?
0.357015,0.0729287,0.00529232,0.000917425,2.02041e-06,0.00022547,-6.72243e-08,1,4,?,?
0.357371,0.0734115,0.00521886,0.000929153,2.04391e-06,0.000230554,-9.38227e-08,1,4,?,?
0.35899,0.0746019,0.00526961,0.00101359,2.33946e-06,0.00025427,-1.19281e-07,1,4,?,?
0.355596,0.0725765,0.00518359,0.00100335,2.27973e-06,0.000251693,-1.9655e-07,1,4,?,?
0.353342,0.0707382,0.00548134,0.00106535,2.56393e-06,0.000263855,-2.32192e-07,1,4,?,?
0.350335,0.068486,0.00570142,0.00110355,2.75958e-06,0.000267805,-2.16865e-07,1,4,?,?
0.349651,0.0690786,0.00507645,0.00104295,2.38977e-06,0.000254961,-2.19063e-07,1,4,?,?
0.347377,0.0698714,0.0046012,0.00113416,2.58799e-06,0.00027428,-1.22644e-07,1,4,?,?
0.346948,0.0686493,0.00558904,0.00151221,4.3948e-06,0.000360685,-1.15307e-07,2,4,?,?
0.342777,0.0655817,0.00559404,0.00139824,3.90964e-06,0.00031526,8.33669e-08,2,4,?,?
0.31963,0.0613055,0.003287,0.00147659,3.20101e-06,0.00027485,5.79415e-07,2,3,?,?
0.23713,0.022516,0.00238734,0.00123418,2.07284e-06,0.000176038,4.37395e-07,8,5,?,?
